Name,Color,Rarity,Total Observations in Card Packs,Total Times Picked Across Drafts,Average Draft Number,Number of Games Where Card in Maindeck,Percent of Games Where Card in Maindeck,Games Won with Card in Maindeck,Total Number of Opening Hand Plays,Games Won with Card in Opening Hand,Number of Times Drawn During Game,Games Won When Drawn During Game
Another Round,W,R,64972,7953,9.59,1690,3.60%,46.60%,259,,402,
Archangel of Tithes,W,M,9905,3697,2.15,18171,82.70%,53.90%,2952,54.60%,4325,55.80%
Armored Armadillo,W,C,378941,40803,11.61,31423,12.90%,51.00%,5421,50.00%,7265,50.80%
Aven Interrupter,W,R,24080,8609,2.64,44852,86.60%,55.50%,7735,56.60%,10692,57.50%
Bounding Felidar,W,U,98493,18079,5.53,86683,80.20%,54.60%,13034,53.60%,20093,55.40%
Bovine Intervention,W,U,136473,12508,9.99,18372,24.90%,50.70%,2815,46.70%,4488,51.00%
Bridled Bighorn,W,C,331675,45982,8.5,179586,64.60%,54.90%,29350,53.40%,41113,54.20%
Claim Jumper,W,R,27374,7264,3.14,37100,85.70%,54.10%,6654,53.70%,8627,54.80%
Dust Animus,W,R,13874,10422,1.47,61258,95.10%,56.70%,10868,60.20%,15325,61.50%
Eriette's Lullaby,W,C,328024,40155,8.6,128460,53.60%,53.10%,21713,50.70%,31308,54.50%
Final Showdown,W,M,7883,4754,1.7,25195,86.60%,56.30%,4115,57.70%,6351,62.00%
"Fortune, Loyal Steed",W,R,19736,9194,2.12,50984,91.80%,55.80%,9058,58.00%,12137,57.20%
Frontier Seeker,W,U,90392,23474,4.61,123372,85.80%,56.80%,22249,58.60%,28002,56.50%
Getaway Glamer,W,U,97479,25220,4.92,130368,84.30%,56.60%,21538,56.40%,32006,59.70%
High Noon,W,R,58999,6611,9.04,3171,8.10%,49.00%,503,46.10%,729,49.50%
Holy Cow,W,C,289990,49011,6.66,249507,83.80%,55.70%,43607,55.80%,58873,57.30%
Inventive Wingsmith,W,C,375189,42227,11.13,45954,18.20%,51.70%,7758,49.90%,11016,51.20%
Lassoed by the Law,W,U,58974,26566,2.8,152891,93.20%,57.20%,25793,58.60%,37625,62.20%
Mystical Tether,W,C,212079,57457,4.38,319723,91.80%,55.60%,54337,55.00%,77557,58.00%
Nurturing Pixie,W,U,129524,18152,7.97,57355,52.70%,54.40%,9625,52.80%,13399,55.40%
Omenport Vigilante,W,U,113567,19058,6.53,82761,72.40%,54.50%,14560,55.60%,18706,53.20%
One Last Job,W,R,36105,7315,4.41,29444,67.50%,54.50%,4587,51.30%,6904,56.70%
Outlaw Medic,W,C,336522,48537,8.51,179405,61.60%,54.50%,31986,55.30%,41976,54.90%
Prairie Dog,W,U,71725,21514,3.57,116267,89.50%,55.50%,21162,58.50%,27199,55.50%
Prosperity Tycoon,W,U,98439,24601,5,126607,84.00%,56.50%,21089,57.00%,30297,58.30%
Requisition Raid,W,U,126226,15555,8.09,43136,46.00%,53.90%,6697,51.50%,9968,55.20%
Rustler Rampage,W,U,146497,15722,10.49,15260,16.20%,52.60%,2282,50.00%,3489,52.70%
Shepherd of the Clouds,W,U,61962,25240,3.01,143676,92.80%,56.50%,23211,56.50%,35196,60.90%
