Username,Category,#Followers,#Followees,#Posts,Post 1 Likes,Post 1 Comments,Post 2 Likes,Post 2 Comments,Post 3 Likes,Post 3 Comments
bookonin,travel,127,392,121,6,1,9,2,5,2
elizabethev,travel,14200,1820,4240,228,80,2001,22,229,103
gpowersfilm,travel,14000,523,3413,707,10,399,18,123,15
anna.everywhere,travel,188000,324,1197,748,25,473,10,462,121
gianluigi_it,travel,24200,3769,1676,10600,122,503,67,1841,52
district_dining,food,15800,1059,802,287,6,163,10,345,10
evieneedstoeat,food,18100,2618,563,378,57,429,60,396,80
tooomuchfoood,food,165000,1290,3469,1356,121,47900,262,1430,15
maonamassa2,food,6748,877,504,47,9,261,4,273,6
veganladysoul,food,4863,1269,3408,28,0,28,0,38,1
