CustomerID,Age,Annual Income (k$)
1,19,15
2,21,15
3,20,16
4,23,16
5,31,17
6,22,17
7,35,18
8,23,18
9,64,19
10,30,19
11,67,19
12,35,19
13,58,20
14,24,20
15,37,20
16,22,20
17,35,21
18,20,21
19,52,23
20,35,23
21,35,24
22,25,24
23,46,25
24,31,25
25,54,28
26,29,28
27,45,28
28,35,28
29,40,29
30,23,29
31,60,30
32,21,30
33,53,33
34,18,33
35,49,33
36,21,33
37,42,34
38,30,34
39,36,37
40,20,37
41,65,38
42,24,38
43,48,39
44,31,39
45,49,39
46,24,39
47,50,40
48,27,40
49,29,40
50,31,40
51,49,42
52,33,42
53,31,43
54,59,43
55,50,43
56,47,43
57,51,44
58,69,44
59,27,46
60,53,46
61,70,46
62,19,46
63,67,47
64,54,47
65,63,48
66,18,48
67,43,48
68,68,48
69,19,48
70,32,48
71,70,49
72,47,49
73,60,50
74,60,50
75,59,54
76,26,54
77,45,54
78,40,54
79,23,54
80,49,54
81,57,54
82,38,54
83,67,54
84,46,54
85,21,54
86,48,54
87,55,57
88,22,57
89,34,58
90,50,58
91,68,59
92,18,59
93,48,60
94,40,60
95,32,60
96,24,60
97,47,60
98,27,60
99,48,61
100,20,61
101,23,62
102,49,62
103,67,62
104,26,62
105,49,62
106,21,62
107,66,63
108,54,63
109,68,63
110,66,63
111,65,63
112,19,63
113,38,64
114,19,64
115,18,65
116,19,65
117,63,65
118,49,65
119,51,67
120,50,67
121,27,67
122,38,67
123,40,69
124,39,69
125,23,70
126,31,70
127,43,71
128,40,71
129,59,71
130,38,71
131,47,71
132,39,71
133,25,72
134,31,72
135,20,73
136,29,73
137,44,73
138,32,73
139,19,74
140,35,74
141,57,75
142,32,75
143,28,76
144,32,76
145,25,77
146,28,77
147,48,77
148,32,77
149,34,78
150,34,78
151,43,78
152,39,78
153,44,78
154,38,78
155,47,78
156,27,78
157,37,78
158,30,78
159,34,78
160,30,78
161,56,79
162,29,79
163,19,81
164,31,81
165,50,85
166,36,85
167,42,86
168,33,86
169,36,87
170,32,87
171,40,87
172,28,87
173,36,87
174,36,87
175,52,88
176,30,88
177,58,88
178,27,88
179,59,93
180,35,93
181,37,97
182,32,97
183,46,98
184,29,98
185,41,99
186,30,99
187,54,101
188,28,101
189,41,103
190,36,103
191,34,103
192,32,103
193,33,113
194,38,113
195,47,120
196,35,120
197,45,126
198,32,126
199,32,137
200,30,137
