Username,Category,#Followers,#Followees,#Posts
ladybugthepug,pet,15032,515,1177
itsdougthepug,pet,3642341,965,2333
jenny_toombs,pet,1220,593,885
crazyaboutspots,pet,68954,982,720
jana_wolf123,pet,68335,894,1193
adogandacat,pet,69120,2211,1320
hello_luna_rose,pet,478765,115,748
riley_thecockapoo,pet,27227,511,810
meow.tagram,pet,43708,4250,1588
pennytheluckdragon,pet,21518,1607,468
tacoandchalupa,pet,18909,571,1786
mochi_and_kiwi,pet,40444,1423,1297
delaney_gram,pet,27193,328,2011
lenalee11,pet,1111,69,800
baileydoodle,pet,21421,787,2148
jonasthebull,pet,4990,1095,516
thebrokedog,pet,16792,4722,705
wafflenugget,pet,115904,991,2360
harry_the_minidoodle,pet,4433,739,339
barry_the_puggy,pet,53344,1566,2699
sansa_ofthe_valley,pet,8835,723,1749
pharrellandrosie,pet,41853,4532,1441
nelson.the.pup,pet,25434,2123,394
minniemaxpugs,pet,108017,672,7017
parker.and.sabo,pet,53696,2440,3611
mochi_doodle,pet,37194,569,1234
amberkillmon,pet,16410,3087,268
life.with.kai,pet,12595,823,358
banksthegolden,pet,30084,759,3069
stpetesam,pet,1356,870,610
bradley_and_chandler,pet,33024,2972,3375
taylorspurgeon,pet,8548,551,352
sgt_bulldog,pet,156363,377,1457
welshponymilou,pet,15346,62,425
katieandfrankie,pet,112645,309,686
charlie.fosterdad,pet,6676,475,1291
cashythegoldendoodle,pet,25000,7484,875
novafrenchie,pet,41659,400,1149
iammollythebeagle,pet,28556,1267,1234
sushisaid,pet,14104,1412,285
lucathesheltie,pet,40547,602,1531
till201404,pet,24542,16,1050
packofrescues,pet,9314,7133,371
ca.mi.co,pet,24816,287,2423
zazuandfriends,pet,6224,2657,2396
everybuddyneedsabuddy,pet,11594,3631,573
silaswhippet,pet,2727,877,475
bourbontheambully,pet,9370,713,1947
haly_hestur,pet,3838,451,541
rody.tino.tomoko,pet,34599,46,844
